Time	Node	Type	Packets	
3	leaf-13	CacheMisses	0
3	leaf-14	CacheHits	0
3	leaf-14	CacheMisses	52
3	leaf-15	CacheHits	0
3	leaf-15	CacheMisses	44
3	leaf-16	CacheHits	0
3	leaf-16	CacheMisses	51
3.5	gw-root	CacheHits	0
3.5	gw-root	CacheMisses	54
3.5	bb-1	CacheHits	17
3.5	bb-1	CacheMisses	54
3.5	bb-2	CacheHits	62
3.5	bb-2	CacheMisses	52
3.5	bb-3	CacheHits	63
3.5	bb-3	CacheMisses	50
3.5	bb-4	CacheHits	54
3.5	bb-4	CacheMisses	52
3.5	bb-5	CacheHits	54
3.5	bb-5	CacheMisses	55
3.5	bb-6	CacheHits	57
3.5	bb-6	CacheMisses	50
3.5	bb-7	CacheHits	45
3.5	bb-7	CacheMisses	51
3.5	bb-8	CacheHits	53
3.5	bb-8	CacheMisses	54
3.5	cgw-1	CacheHits	48
3.5	cgw-1	CacheMisses	51
3.5	cgw-2	CacheHits	54
3.5	cgw-2	CacheMisses	60
3.5	cgw-3	CacheHits	0
3.5	cgw-3	CacheMisses	56
3.5	cgw-4	CacheHits	1
3.5	cgw-4	CacheMisses	54
3.5	cgw-5	CacheHits	47
3.5	cgw-5	CacheMisses	51
3.5	cgw-6	CacheHits	57
3.5	cgw-6	CacheMisses	45
3.5	cgw-7	CacheHits	0
3.5	cgw-7	CacheMisses	56
3.5	cgw-8	CacheHits	51
3.5	cgw-8	CacheMisses	51
3.5	leaf-1	CacheHits	0
3.5	leaf-1	CacheMisses	48
3.5	leaf-2	CacheHits	0
3.5	leaf-2	CacheMisses	50
3.5	leaf-3	CacheHits	0
3.5	leaf-3	CacheMisses	52
3.5	leaf-4	CacheHits	0
3.5	leaf-4	CacheMisses	59
3.5	leaf-5	CacheHits	0
3.5	leaf-5	CacheMisses	57
3.5	leaf-6	CacheHits	0
3.5	leaf-6	CacheMisses	0
3.5	leaf-7	CacheHits	0
3.5	leaf-7	CacheMisses	47
3.5	leaf-8	CacheHits	0
3.5	leaf-8	CacheMisses	56
3.5	leaf-9	CacheHits	0
3.5	leaf-9	CacheMisses	48
3.5	leaf-10	CacheHits	0
3.5	leaf-10	CacheMisses	52
3.5	leaf-11	CacheHits	0
3.5	leaf-11	CacheMisses	44
3.5	leaf-12	CacheHits	0
3.5	leaf-12	CacheMisses	57
3.5	leaf-13	CacheHits	0
3.5	leaf-13	CacheMisses	0
3.5	leaf-14	CacheHits	0
3.5	leaf-14	CacheMisses	56
3.5	leaf-15	CacheHits	0
3.5	leaf-15	CacheMisses	50
3.5	leaf-16	CacheHits	0
3.5	leaf-16	CacheMisses	61
4	gw-root	CacheHits	0
4	gw-root	CacheMisses	46
4	bb-1	CacheHits	1
4	bb-1	CacheMisses	46
4	bb-2	CacheHits	45
4	bb-2	CacheMisses	47
4	bb-3	CacheHits	61
4	bb-3	CacheMisses	49
4	bb-4	CacheHits	56
4	bb-4	CacheMisses	44
4	bb-5	CacheHits	45
4	bb-5	CacheMisses	58
4	bb-6	CacheHits	50
4	bb-6	CacheMisses	50
4	bb-7	CacheHits	56
4	bb-7	CacheMisses	44
4	bb-8	CacheHits	46
4	bb-8	CacheMisses	54
4	cgw-1	CacheHits	45
4	cgw-1	CacheMisses	45
4	cgw-2	CacheHits	52
4	cgw-2	CacheMisses	60
4	cgw-3	CacheHits	0
4	cgw-3	CacheMisses	48
4	cgw-4	CacheHits	42
4	cgw-4	CacheMisses	48
4	cgw-5	CacheHits	34
4	cgw-5	CacheMisses	44
4	cgw-6	CacheHits	47
4	cgw-6	CacheMisses	52
4	cgw-7	CacheHits	0
4	cgw-7	CacheMisses	55
4	cgw-8	CacheHits	39
4	cgw-8	CacheMisses	48
4	leaf-1	CacheHits	0
4	leaf-1	CacheMisses	45
4	leaf-2	CacheHits	0
4	leaf-2	CacheMisses	45
4	leaf-3	CacheHits	0
4	leaf-3	CacheMisses	52
4	leaf-4	CacheHits	0
4	leaf-4	CacheMisses	60
4	leaf-5	CacheHits	0
4	leaf-5	CacheMisses	47
4	leaf-6	CacheHits	0
4	leaf-6	CacheMisses	0
4	leaf-7	CacheHits	0
4	leaf-7	CacheMisses	50
4	leaf-8	CacheHits	0
4	leaf-8	CacheMisses	47
4	leaf-9	CacheHits	0
4	leaf-9	CacheMisses	53
4	leaf-10	CacheHits	0
4	leaf-10	CacheMisses	42
4	leaf-11	CacheHits	0
4	leaf-11	CacheMisses	52
4	leaf-12	CacheHits	0
4	leaf-12	CacheMisses	47
4	leaf-13	CacheHits	0
4	leaf-13	CacheMisses	0
4	leaf-14	CacheHits	0
4	leaf-14	CacheMisses	54
4	leaf-15	CacheHits	0
4	leaf-15	CacheMisses	47
4	leaf-16	CacheHits	0
4	leaf-16	CacheMisses	51
4.5	gw-root	CacheHits	0
4.5	gw-root	CacheMisses	57
4.5	bb-1	CacheHits	0
4.5	bb-1	CacheMisses	57
4.5	bb-2	CacheHits	56
4.5	bb-2	CacheMisses	56
4.5	bb-3	CacheHits	59
4.5	bb-3	CacheMisses	54
4.5	bb-4	CacheHits	40
4.5	bb-4	CacheMisses	53
4.5	bb-5	CacheHits	51
4.5	bb-5	CacheMisses	58
4.5	bb-6	CacheHits	52
4.5	bb-6	CacheMisses	53
4.5	bb-7	CacheHits	56
4.5	bb-7	CacheMisses	51
4.5	bb-8	CacheHits	49
4.5	bb-8	CacheMisses	53
4.5	cgw-1	CacheHits	50
4.5	cgw-1	CacheMisses	52
4.5	cgw-2	CacheHits	48
4.5	cgw-2	CacheMisses	57
4.5	cgw-3	CacheHits	0
4.5	cgw-3	CacheMisses	51
4.5	cgw-4	CacheHits	41
4.5	cgw-4	CacheMisses	52
4.5	cgw-5	CacheHits	36
4.5	cgw-5	CacheMisses	52
4.5	cgw-6	CacheHits	47
4.5	cgw-6	CacheMisses	54
4.5	cgw-7	CacheHits	0
4.5	cgw-7	CacheMisses	53
4.5	cgw-8	CacheHits	38
4.5	cgw-8	CacheMisses	45
4.5	leaf-1	CacheHits	0
4.5	leaf-1	CacheMisses	51
4.5	leaf-2	CacheHits	0
4.5	leaf-2	CacheMisses	52
4.5	leaf-3	CacheHits	0
4.5	leaf-3	CacheMisses	49
4.5	leaf-4	CacheHits	0
4.5	leaf-4	CacheMisses	56
4.5	leaf-5	CacheHits	0
4.5	leaf-5	CacheMisses	53
4.5	leaf-6	CacheHits	0
4.5	leaf-6	CacheMisses	0
4.5	leaf-7	CacheHits	0
4.5	leaf-7	CacheMisses	43
4.5	leaf-8	CacheHits	0
4.5	leaf-8	CacheMisses	51
4.5	leaf-9	CacheHits	0
4.5	leaf-9	CacheMisses	43
4.5	leaf-10	CacheHits	0
4.5	leaf-10	CacheMisses	55
4.5	leaf-11	CacheHits	0
4.5	leaf-11	CacheMisses	54
4.5	leaf-12	CacheHits	0
4.5	leaf-12	CacheMisses	47
4.5	leaf-13	CacheHits	0
4.5	leaf-13	CacheMisses	0
4.5	leaf-14	CacheHits	0
4.5	leaf-14	CacheMisses	52
4.5	leaf-15	CacheHits	0
4.5	leaf-15	CacheMisses	41
4.5	leaf-16	CacheHits	0
4.5	leaf-16	CacheMisses	44
5	gw-root	CacheHits	0
5	gw-root	CacheMisses	47
5	bb-1	CacheHits	3
5	bb-1	CacheMisses	47
5	bb-2	CacheHits	55
5	bb-2	CacheMisses	49
5	bb-3	CacheHits	46
5	bb-3	CacheMisses	50
5	bb-4	CacheHits	37
5	bb-4	CacheMisses	51
5	bb-5	CacheHits	47
5	bb-5	CacheMisses	54
5	bb-6	CacheHits	54
