Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
4	leaf-8	combined	Drop	0	0	0	0
4	leaf-9	combined	Drop	0	0	0	0
4	leaf-10	combined	Drop	0	0	0	0
4	leaf-11	combined	Drop	0	0	0	0
4	leaf-12	combined	Drop	0	0	0	0
4	leaf-13	combined	Drop	0	0	0	0
4	leaf-14	combined	Drop	0	0	0	0
4	leaf-15	combined	Drop	0	0	0	0
4	leaf-16	combined	Drop	0	0	0	0
4.5	gw-root	combined	Drop	0	0	0	0
4.5	bb-1	combined	Drop	0	0	0	0
4.5	bb-2	combined	Drop	0	0	0	0
4.5	bb-3	combined	Drop	0	0	0	0
4.5	bb-4	combined	Drop	0	0	0	0
4.5	bb-5	combined	Drop	0	0	0	0
4.5	bb-6	combined	Drop	0	0	0	0
4.5	bb-7	combined	Drop	0	0	0	0
4.5	bb-8	combined	Drop	0	0	0	0
4.5	cgw-1	combined	Drop	0	0	0	0
4.5	cgw-2	combined	Drop	0	0	0	0
4.5	cgw-3	combined	Drop	0	0	0	0
4.5	cgw-4	combined	Drop	0	0	0	0
4.5	cgw-5	combined	Drop	0	0	0	0
4.5	cgw-6	combined	Drop	0	0	0	0
4.5	cgw-7	combined	Drop	0	0	0	0
4.5	cgw-8	combined	Drop	0	0	0	0
4.5	leaf-1	combined	Drop	0	0	0	0
4.5	leaf-2	combined	Drop	0	0	0	0
4.5	leaf-3	combined	Drop	0	0	0	0
4.5	leaf-4	combined	Drop	0	0	0	0
4.5	leaf-5	combined	Drop	0	0	0	0
4.5	leaf-6	combined	Drop	0	0	0	0
4.5	leaf-7	combined	Drop	0	0	0	0
4.5	leaf-8	combined	Drop	0	0	0	0
4.5	leaf-9	combined	Drop	0	0	0	0
4.5	leaf-10	combined	Drop	0	0	0	0
4.5	leaf-11	combined	Drop	0	0	0	0
4.5	leaf-12	combined	Drop	0	0	0	0
4.5	leaf-13	combined	Drop	0	0	0	0
4.5	leaf-14	combined	Drop	0	0	0	0
4.5	leaf-15	combined	Drop	0	0	0	0
4.5	leaf-16	combined	Drop	0	0	0	0
5	gw-root	combined	Drop	0	0	0	0
5	bb-1	combined	Drop	0	0	0	0
5	bb-2	combined	Drop	0	0	0	0
5	bb-3	combined	Drop	0	0	0	0
5	bb-4	combined	Drop	0	0	0	0
5	bb-5	combined	Drop	0	0	0	0
5	bb-6	combined	Drop	0	0	0	0
5	bb-7	combined	Drop	0	0	0	0
5	bb-8	combined	Drop	0	0	0	0
5	cgw-1	combined	Drop	0	0	0	0
5	cgw-2	combined	Drop	0	0	0	0
5	cgw-3	combined	Drop	0	0	0	0
5	cgw-4	combined	Drop	0	0	0	0
5	cgw-5	combined	Drop	0	0	0	0
5	cgw-6	combined	Drop	0	0	0	0
5	cgw-7	combined	Drop	0	0	0	0
5	cgw-8	combined	Drop	0	0	0	0
5	leaf-1	combined	Drop	0	0	0	0
5	leaf-2	combined	Drop	0	0	0	0
5	leaf-3	combined	Drop	0	0	0	0
5	leaf-4	combined	Drop	0	0	0	0
5	leaf-5	combined	Drop	0	0	0	0
5	leaf-6	combined	Drop	0	0	0	0
5	leaf-7	combined	Drop	0	0	0	0
5	leaf-8	combined	Drop	0	0	0	0
5	leaf-9	combined	Drop	0	0	0	0
5	leaf-10	combined	Drop	0	0	0	0
5	leaf-11	combined	Drop	0	0	0	0
5	leaf-12	combined	Drop	0	0	0	0
5	leaf-13	combined	Drop	0	0	0	0
5	leaf-14	combined	Drop	0	0	0	0
5	leaf-15	combined	Drop	0	0	0	0
5	leaf-16	combined	Drop	0	0	0	0
5.5	gw-root	combined	Drop	0	0	0	0
5.5	bb-1	combined	Drop	0	0	0	0
5.5	bb-2	combined	Drop	0	0	0	0
5.5	bb-3	combined	Drop	0	0	0	0
5.5	bb-4	combined	Drop	0	0	0	0
5.5	bb-5	combined	Drop	0	0	0	0
5.5	bb-6	combined	Drop	0	0	0	0
5.5	bb-7	combined	Drop	0	0	0	0
5.5	bb-8	combined	Drop	0	0	0	0
5.5	cgw-1	combined	Drop	0	0	0	0
5.5	cgw-2	combined	Drop	0	0	0	0
5.5	cgw-3	combined	Drop	0	0	0	0
5.5	cgw-4	combined	Drop	0	0	0	0
5.5	cgw-5	combined	Drop	0	0	0	0
5.5	cgw-6	combined	Drop	0	0	0	0
5.5	cgw-7	combined	Drop	0	0	0	0
5.5	cgw-8	combined	Drop	0	0	0	0
5.5	leaf-1	combined	Drop	0	0	0	0
5.5	leaf-2	combined	Drop	0	0	0	0
5.5	leaf-3	combined	Drop	0	0	0	0
5.5	leaf-4	combined	Drop	0	0	0	0
5.5	leaf-5	combined	Drop	0	0	0	0
5.5	leaf-6	combined	Drop	0	0	0	0
5.5	leaf-7	combined	Drop	0	0	0	0
5.5	leaf-8	combined	Drop	0	0	0	0
5.5	leaf-9	combined	Drop	0	0	0	0
5.5	leaf-10	combined	Drop	0	0	0	0
5.5	leaf-11	combined	Drop	0	0	0	0
5.5	leaf-12	combined	Drop	0	0	0	0
5.5	leaf-13	combined	Drop	0	0	0	0
5.5	leaf-14	combined	Drop	0	0	0	0
5.5	leaf-15	combined	Drop	0	0	0	0
5.5	leaf-16	combined	Drop	0	0	0	0
6	gw-root	combined	Drop	0	0	0	0
6	bb-1	combined	Drop	0	0	0	0
6	bb-2	combined	Drop	0	0	0	0
6	bb-3	combined	Drop	0	0	0	0
6	bb-4	combined	Drop	0	0	0	0
6	bb-5	combined	Drop	0	0	0	0
